Upside,,Chg. %,P/E Ratio,Column 2,Column 5,EV/EBIDTA,Profitability Rating,Low,Growth Rating,Fair Value,Column 8,Cash Flow Rating,Column 4,Chg.,Column 3,Analyst Ratings,Time,Column 1,Market Cap,EPS Growth (5y),Column 7,Column 6,Month,Name,High,Last,Financial Health,Price
,,+0.52%,,,,,,"42,175.62",,,,,,+222.64,,,07/03,,,,,,,Dow Jones,"42,898.68","42,801.72",,
,,+0.55%,,,,,,"5,666.29",,,,,,+31.68,,,07/03,,,,,,,S&P 500,"5,783.01","5,770.20",,
,,+0.70%,,,,,,"17,768.59",,,,,,+126.97,,,07/03,,,,,,,Nasdaq,"18,243.58","18,196.22",,
,,+0.37%,,,,,,"2,031.90",,,,,,+7.55,,,07/03,,,,,,,Small Cap 2000,"2,085.40","2,074.10",,
,,+9.24%,,,,,,24.68,,,,,,+2.16,,,06:02:16,,,,,,,S&P 500 VIX,25.94,25.53,,
,,+0.71%,,,,,,"24,458.47",,,,,,+174.72,,,07/03,,,,,,,S&P/TSX,"24,825.41","24,758.76",,
,,+1.36%,,,,,,"122,530",,,,,,"+1,677",,,07/03,,,,,,,Bovespa,"125,822","125,035",,
,,+0.04%,,,,,,"51,839.15",,,,,,+23.20,,,07/03,,,,,,,S&P/BMV IPC,"52,901.23","52,839.63",,
,,-0.09%,,,,,,"3,732.64",,,,,,-3.43,,,06:02:45,,,,,,,MSCI World,"3,741.66","3,736.94",,
,,-0.56%,,,,,,"22,745.22",,,,,,-128.71,,,06:03:12,,,,,,,DAX,"23,183.35","22,872.33",,
,,,,,,,,,,,,,,,,,,Upcoming Key Economic Events,,,,,,,,,,
,,,,,,,,,,,,,German Buba President Nagel Speaks,,EUR,,,EUR,,,,,,German Buba President Nagel Speaks,,,,
,,,,,,,,,,,3.00%,,NY Fed 1-Year Consumer Inflation ExpectationsPrev.:3.00%,,USD,,,USD,,,,,,NY Fed 1-Year Consumer Inflation Expectations,,,,
,,,,,,,,,,,2.70%,,Household Spending(YoY)(Jan)Cons:3.70%Prev.:2.70%,,JPY,,,JPY,,,3.70%,,,Household Spending(YoY)(Jan),,,,
,,,,,,,,,,,,,,,,,,Recently Released Key Economic Events,,,,,,,,,,
,,,,,,,,,,,,,Eurogroup Meetings,,EUR,,,EUR,,,,,,Eurogroup Meetings,,,,
,,,,,,,,,,,-21,,SECO Consumer ClimateAct:-34Cons:-28Prev.:-21,,CHF,,,CHF,,,-28,-34,,SECO Consumer Climate,,,,
,,,,,,,,,,,-1.50%,,German Industrial Production(MoM)(Jan)Act:2.00%Cons:1.60%Prev.:-1.50%,,EUR,,,EUR,,,1.60%,2.00%,,German Industrial Production(MoM)(Jan),,,,
,,,,,,,,,,,20.7B,,German Trade Balance(Jan)Act:16BCons:21BPrev.:20.7B,,EUR,,,EUR,,,21B,16B,,German Trade Balance(Jan),,,,
+40.09%,,,12.22,,,0.00,Good,,Fair,21.21,,Fair,,,,Buy,,,22.01B,0.04,,,,Aa Aaaaaaaaaa,,,Fair,15.14
+35.11%,,,12.34,,,0.00,Fair,,Weak,55.94,,Weak,,,,Buy,,,314.83B,0.05,,,,A Aa  Aa,,,Fair,41.40
+31.56%,,,13.97,,,9.05,Excellent,,Great,124.52,,Great,,,,Buy,,,239.09B,2.81,,,,Aaaaaaaa Aaaa,,,Great,94.65
+30.55%,,,12.37,,,0.00,Good,,Fair,52.30,,Fair,,,,Buy,,,26.66B,0.06,,,,Aaaaaaaaaaaaaaaaaa,,,Fair,40.06
+30.18%,,,18.89,,,8.43,Great,,Fair,34.80,,Good,,,,Buy,,,151.49B,5.42,,,,Aaaaa Aaaa Aaaaaaaa,,,Good,26.73
+29.87%,,,10.96,,,5.72,Excellent,,Fair,130.73,,Great,,,,Neutral,,,22.41B,0.07,,,,Aa A Aa,,,Good,100.66
+29.01%,,,12.56,,,0.00,Good,,Fair,91.66,,Fair,,,,Buy,,,233.63B,1.27,,,,Aaaaa Aa,,,Fair,71.05
+28.96%,,,8.78,,,6.12,Great,,Fair,48.48,,Fair,,,,Buy,,,142.13B,0.30,,,,Aaaaaaaaaaa A,,,Good,37.59
+22.35%,,,12.51,,,5.13,Great,,Fair,110.89,,Great,,,,Buy,,,115.32B,85.15,,,,Aaa A,,,Good,90.63
+21.27%,,,15.59,,,6.27,Great,,Fair,189.59,,Good,,,,Buy,,,275.25B,0.50,,,,Aaaaaaaaaaaaaa,,,Good,156.34
,,+0.52%,,,,,,,,,,,,+222.64,,,,,,,,,,Dow Jones,,"42,801.72",,
,,+0.55%,,,,,,,,,,,,+31.68,,,,,,,,,,S&P 500derived,,"5,770.20",,
,,-0.56%,,,,,,,,,,,,-128.71,,,,,,,,,,DAXderived,,"22,872.33",,
,,+0.71%,,,,,,,,,,,,+174.72,,,,,,,,,,S&P/TSX,,"24,758.76",,
,,+0.34%,,,,,,,,,,,,+126.50,,,,,,,,,,Nikkei 225derived,,"36,990.00",,
,,+0.18%,,,,,,,,,,,,+14.10,,,,,,,,,,S&P/ASX 200,,"7,962.30",,
,,-0.72%,,,,,,,,,,,,,,,,,,,,,Mar 25,Dow Jones,,"42,528.00",,
,,-0.88%,,,,,,,,,,,,,,,,,,,,,Mar 25,S&P 500,,"5,725.25",,
,,-1.01%,,,,,,,,,,,,,,,,,,,,,Mar 25,Nasdaq 100,,"20,025.00",,
,,+4.41%,,,,,,,,,,,,,,,,,,,,,Mar 25,S&P 500 VIXderived,,22.58,,
,,-0.55%,,,,,,,,,,,,,,,,,,,,,Mar 25,DAXderived,,"22,894.5",,
,,-0.01%,,,,,,,,,,,,,,,,,,,,,Jun 25,Nikkei 225derived,,"36,535.0",,
,,-0.01%,,,,,,,,,,,,,,,,,,,,,Apr 25,Goldderived,,"2,913.89",,
,,+0.18%,,,,,,,,,,,,,,,,,,,,,Apr 25,Crude Oil WTIderived,,67.16,,
,,+0.62%,,,,,,,,,,,,,,,,,,,,,May 25,Silverderived,,33.013,,
,,+4.39%,,,,,,,,,,,,,,,,,,,,,Apr 25,Natural Gasderived,,4.592,,
,,-0.10%,,,,,,,,,,,,,,,,,,,,,May 25,US Soybeansderived,,"1,023.00",,
,,+1.43%,,,,,,,,,,,,,,,,,,,,,May 25,US Wheatderived,,558.88,,
,,+1.30%,,,,,,,,,,,,+1.40,,,,,,,,,,Exxon Mobil,,109.02,,
,,+0.48%,,,,,,,,,,,,+0.67,,,,,,,,,,Alibaba ADR,,140.62,,
,,-0.30%,,,,,,,,,,,,-0.78,,,,,,,,,,Tesla,,262.67,,
,,-0.36%,,,,,,,,,,,,-2.27,,,,,,,,,,Meta Platforms,,625.66,,
,,+0.88%,,,,,,,,,,,,+1.51,,,,,,,,,,Alphabet A,,173.86,,
,,+1.59%,,,,,,,,,,,,+3.74,,,,,,,,,,Apple,,239.07,,
,,+0.35%,,,,,,,,,,,,,,,,,,,,,Mar 25,US 10Y T-Note,,110.94,,
,,0.00%,,,,,,,,,,,,,,,,,,,,,Mar 25,US 30Y T-Bond,,117.31,,
,,+0.07%,,,,,,,,,,,,,,,,,,,,,Jun 25,UK Giltderived,,92.16,,
,,+0.09%,,,,,,,,,,,,,,,,,,,,,Jun 25,Euro Bundderived,,127.78,,
,,+0.11%,,,,,,,,,,,,,,,,,,,,,Jun 25,Euro BTPderived,,116.65,,
,,-0.09%,,,,,,,,,,,,,,,,,,,,,Jun 25,Japan Govt. Bondderived,,137.92,,
,,-1.23%,,,,,,,,,,,,-0.057,,,,,,,,,,U.S. 30Y,,4.560,,
,,-1.48%,,,,,,,,,,,,-0.064,,,,,,,,,,U.S. 10Y,,4.254,,
,,-1.59%,,,,,,,,,,,,-0.065,,,,,,,,,,U.S. 5Y,,4.029,,
,,-1.20%,,,,,,,,,,,,-0.048,,,,,,,,,,U.S. 2Y,,3.954,,
,,+0.20%,,,,,,,,,,,,+0.008,,,,,,,,,,U.S. 1Y,,4.069,,
,,+0.23%,,,,,,,,,,,,+0.010,,,,,,,,,,U.S. 3M,,4.317,,
,,+0.56%,,,,,,,,,,,,+3.21,,,,,,,,,,SPDR S&P 500,,575.92,,
,,+0.74%,,,,,,,,,,,,+3.59,,,,,,,,,,Invesco QQQ Trust,,491.79,,
,,-0.32%,,,,,,,,,,,,-0.29,,,,,,,,,,iShares 20+ Year Treasury Bond,,90.11,,
,,+1.02%,,,,,,,,,,,,+0.25,,,,,,,,,,iShares MSCI Brazil Capped,,24.82,,
,,-1.99%,,,,,,,,,,,,-0.70,,,,,,,,,,ProShares UltraPro Short QQQ,,34.47,,
,,+2.07%,,,,,,,,,,,,+1.37,,,,,,,,,,ProShares UltraPro QQQ,,67.41,,
,,-2.86%,,,,,,,,,,,,"-2,427.0",,,,,,,,,,Bitcoin,,"82,419.3",,
,,-1.61%,,,,,,,,,,,,-34.36,,,,,,,,,,Ethereum,,"2,099.89",,
,,-0.09%,,,,,,,,,,,,-0.0009,,,,,,,,,,Tether,,1.0005,,
,,-3.11%,,,,,,,,,,,,-0.0699,,,,,,,,,,XRP,,2.1791,,
,,-2.22%,,,,,,,,,,,,-12.78,,,,,,,,,,BNB,,564.02,,
,,-0.70%,,,,,,,,,,,,-0.030,,,,,,,,,,Polkadot,,4.188,,
